10990	The court comedies of John Lyly : a study in allegorical dramaturgy.	Saccio, Peter.		Princeton University Press,		240	PR2303 .S2
7445	English literature of the late seventeenth century /	Sutherland, James Runcieman,1900-1996,		Oxford University Press,		596	PR437 .S9
2450	The psychology and behaviour of animals in zoos and circuses,	Hediger, Heini,		Dover Publications,		173	QL785 .H366
10824	An ideology in power : reflections on the Russian Revolution /	Wolfe, Bertram D.1896-1977.(Bertram David),		Stein and Day,		414	DK265 .W58
11715	The rhetoric of the civil-rights movement /			Random House		150	E185.615 .B6
4605	The rhetoric of Black power /			Harper &amp; Row		215	E185.615 .S34
4719	Principles of geomorphology	Easterbrook, Don J.,1935-		McGraw-Hill		470	GB55 .E2
4719	Principles of geomorphology	Easterbrook, Don J.,1935-		McGraw-Hill		470	GB55 .E2
306	Transport and national goals.			Brookings Institution, Transport Research Program		209	HE148.5 .T7
4048	Advertising; its role in modern marketing	Dunn, S. Watson1918-1997.(Samuel Watson),		Holt, Rinehart and Winston		637	HF5823 .D78 1969
1921	Fertility and family planning; a world view.			University of Michigan Press		511	HQ766 .F47
3914	The rehabilitation planning game: a study in the diversity of neighborhood.	Keyes, Langley Carleton,1938-		[MIT Press],		261	HT177.B6 K4
5250	Demeter's manual of parliamentary law and procedure; for the legal conduct of business in all deliberative assemblies.	Demeter, George,1896-		Little, Brown		382	JF515 .D4
5485	Measure for measure, as dialectical art,	Bache, William B.		Purdue University Studies,		74	PR2824 .B3
5310	Twentieth century interpretations of The tempest : a collection of critical essays /			Prentice-Hall,		122	PR2833 .S6
4603	Comparative vertebrate histology	Patt, Donald I.1916-2002.(Donald Irving),		Harper &amp; Row		446	QM551 .P3
10416	Plant science; an introduction to world crops			W.H. Freeman		637	SB91 .P55
5593	The age of rock, sounds of the American cultural revolution; a reader.	Eisen, Jonathan,		Random House	volumes 		ML3561.J3 E44
8645	The diary of Anaïs Nin /	Nin, Anaïs,1903-1977.		Harcourt Brace Jovanovich,	volumes 		PS3527.I865 Z5
8645	The diary of Anaïs Nin /	Nin, Anaïs,1903-1977.		Harcourt Brace Jovanovich,	volumes 		PS3527.I865 Z5 supp.
4510	The sources of existentialism as philosophy /			Prentice-Hall		240	B819 .M593
5700	Attitudes toward other religions : some Christian interpretations /	Thomas, Owen C.,1922-		Harper &amp; Row,		246	BR127 .T52
8178	The Book of Job; its origin and purpose	Snaith, Norman H.1898-1982.(Norman Henry),		A.R. Allenson		126	BS1415.2 .S6
8890	Invisible empire : the story of the Ku Klux Klan, 1866-1871 /	Horn, Stanley F.,1889-1980.		J.E. Edwards,		444	E668 .H78 1969
4591	Twelve cities.	Gunther, John,1901-1970.		Harper &amp; Row		380	G140 .G85
1498	The Meaning of courtly love.			State University of New York Press		112	GT2620 .M4
10866	Readings in organizational behavior and human performance,	Cummings, Larry L.,		R.D. Irwin,		799	HF5548.8 .C84
5242	The subversive science : essays toward an ecology of man /			Houghton Mifflin,		463	HM206 .S53
4551	The democratic experience: past and prospects	Niebuhr, Reinhold,1892-1971,		Praeger		202	JC423 .N52
2859	Demagogues in the depression; American radicals and the Union Party, 1932-1936,	Bennett, David Harry,1935-		Rutgers University Press		351	JK2391.U5 B4
3772	Bach's world /	Chiapusso, Jan.		Indiana University Press		348	ML410.B1 C43
11599	American architecture since 1780 : guide to the styles /	Whiffen, Marcus.		M.I.T. Press,		323	NA705 .W47
11619	Mark Twain's Mysterious stranger manuscripts /	Twain, Mark,1835-1910.		University of California Press,		617	PS1322.C59 M9
11255	Noise and man.	Burns, William,1909-2004.		Lippincott		346	RA772.N7 B8
968	Why people go to psychiatrists.	Kadushin, Charles.		Atherton Press,		383	RC480.5 .K32
4099	Personal space : the behavioral basis of design /	Sommer, Robert,		Prentice-Hall, Inc.,		188	BF469 .S64
2445	The origin of our knowledge of right and wrong.	Brentano, Franz,1838-1917.		Humanities Press		182	BJ37 .B813 1969b
790	The Bhagavad Gītā /			Holt, Rinehart and Winston,		203	BL1130.A4 D4
